Date,Item,Amount
2026-01-06,Lucy (Payment/Loan),280
2026-01-06,Powder/Downy/Zonrox,40
2026-01-07,Parcel Fee,1784
2026-01-08,Total Sales (Combined),11072
2026-01-09,Aozi Cat,50
2026-01-09,Litter Sand,50
2026-01-09,Wet Food,100
2026-01-09,Wet Food,100
2026-01-09,Top Breed,50
2026-01-09,Toci,30
2026-01-09,Aozi,50
2026-01-09,Dextrose,65
2026-01-09,Toci,50
2026-01-09,Cuties,50
2026-01-09,Princess,50
2026-01-10,Shampoo,250
2026-01-10,Toci,100
2026-01-10,Good Boy,200
2026-01-10,Chew Snack,120
2026-01-10,Pedigree,50
2026-01-10,Aozi,100
2026-01-10,Aozi Can,95
2026-01-10,Whiskas,100
2026-01-10,Zoi Cat,50
2026-01-10,Lucy (Payment/Loan),70
2026-01-10,Cuties,80
2026-01-10,Aozi Can,190
2026-01-10,Aozi Cat,100
2026-01-10,Wet Food,10.5
2026-01-10,Pedigree,100
2026-01-10,Aozi Puppy,200
2026-01-10,Aozi Dog Adult,300
2026-01-10,Aozi Cat,50
2026-01-10,Fish Net,50
2026-01-11,Shampoo,250
2026-01-11,Litter Sand,150
2026-01-11,Zoi,100
2026-01-11,Pedigree,680
2026-01-11,Wet Food,100
2026-01-11,Pet Tum,75
2026-01-11,Top Breed,100
2026-01-11,Aozi Cat,150
2026-01-11,Power Cat,100
2026-01-11,Litter Sand,150
2026-01-11,Zoi Cat,75
2026-01-11,Good Boy,200
2026-01-11,Special Dog Can,95
2026-01-11,Whiskas,50
2026-01-11,Special Dog,50
2026-01-11,Zoi Cat,150
2026-01-11,Dentastix,150
2026-01-11,Good Boy,50
2026-01-11,Zoi Cat,50
2026-01-11,Power Cat,100
2026-01-12,Good Boy,100
2026-01-12,Zoi,75
2026-01-12,Doxycycline,250
2026-01-12,Princess,50
2026-01-12,Princess,180
2026-01-12,Expense (Expen),191
2026-01-13,Aozi Cat,50
2026-01-13,Zoi,30
2026-01-13,Top Breed,30
2026-01-13,Parcel Fee,145
2026-01-14,Toci,150
2026-01-14,Top Breed,50
2026-01-14,Power Cat,520
2026-01-14,Beef Teriyaki,150
